"2019-06-05 22:13:12","29.8","svmem(total=17138647040, available=9744011264, percent=43.1, used=7394635776, free=9744011264)","1 Synjas"
"2019-06-05 22:13:28","12.8","svmem(total=17138647040, available=9809289216, percent=42.8, used=7329357824, free=9809289216)","1 Synjas"
"2019-06-05 22:13:43","7.3","svmem(total=17138647040, available=9813688320, percent=42.7, used=7324958720, free=9813688320)","1 Synjas"
"2019-06-05 22:14:44","27.6","svmem(total=17138647040, available=9824976896, percent=42.7, used=7313670144, free=9824976896)","1 Synjas"
"2019-06-05 22:15:00","9.4","svmem(total=17138647040, available=9834606592, percent=42.6, used=7304040448, free=9834606592)","1 Synjas"
"2019-06-05 22:15:16","8.8","svmem(total=17138647040, available=9856172032, percent=42.5, used=7282475008, free=9856172032)","1 Synjas"
"2019-06-05 22:15:31","7.8","svmem(total=17138647040, available=9848229888, percent=42.5, used=7290417152, free=9848229888)","1 Synjas"
"2019-06-05 22:15:47","7.7","svmem(total=17138647040, available=9853104128, percent=42.5, used=7285542912, free=9853104128)","1 Synjas"
"2019-06-05 22:16:02","9.8","svmem(total=17138647040, available=9847246848, percent=42.5, used=7291400192, free=9847246848)","1 Synjas"
"2019-06-05 22:16:45","31.1","svmem(total=17138647040, available=9829449728, percent=42.6, used=7309197312, free=9829449728)","1 Synjas"
"2019-06-05 22:17:01","15.3","svmem(total=17138647040, available=9814056960, percent=42.7, used=7324590080, free=9814056960)","1 Synjas"
"2019-06-05 22:17:17","16.5","svmem(total=17138647040, available=9789898752, percent=42.9, used=7348748288, free=9789898752)","1 Synjas"
"2019-06-05 22:17:33","15.7","svmem(total=17138647040, available=9780494336, percent=42.9, used=7358152704, free=9780494336)","1 Synjas"
"2019-06-05 22:17:49","29.1","svmem(total=17138647040, available=9731657728, percent=43.2, used=7406989312, free=9731657728)","1 Synjas"
"2019-06-05 22:18:31","27.9","svmem(total=17138647040, available=9791905792, percent=42.9, used=7346741248, free=9791905792)","1 Synjas"
"2019-06-05 22:18:47","9.6","svmem(total=17138647040, available=9789231104, percent=42.9, used=7349415936, free=9789231104)","1 Synjas"
"2019-06-05 22:19:03","31.3","svmem(total=17138647040, available=9780477952, percent=42.9, used=7358169088, free=9780477952)","1 Synjas"
"2019-06-05 22:19:19","13.8","svmem(total=17138647040, available=9791655936, percent=42.9, used=7346991104, free=9791655936)","1 Synjas"
"2019-06-05 22:19:48","23.5","svmem(total=17138647040, available=9777025024, percent=43.0, used=7361622016, free=9777025024)","1 Synjas"
"2019-06-05 22:20:03","12.3","svmem(total=17138647040, available=9783382016, percent=42.9, used=7355265024, free=9783382016)","1 Synjas"
"2019-06-05 22:20:24","29.2","svmem(total=17138647040, available=9776369664, percent=43.0, used=7362277376, free=9776369664)","1 Synjas"
"2019-06-05 22:20:40","7.9","svmem(total=17138647040, available=9770434560, percent=43.0, used=7368212480, free=9770434560)","1 Synjas"
"2019-06-05 22:21:32","31.1","svmem(total=17138647040, available=9765687296, percent=43.0, used=7372959744, free=9765687296)","1 Synjas"
"2019-06-05 22:21:48","7.5","svmem(total=17138647040, available=9769467904, percent=43.0, used=7369179136, free=9769467904)","1 Synjas"
"2019-06-05 22:22:03","7.7","svmem(total=17138647040, available=9761824768, percent=43.0, used=7376822272, free=9761824768)","1 Synjas"
"2019-06-05 22:22:19","26.5","svmem(total=17138647040, available=9747357696, percent=43.1, used=7391289344, free=9747357696)","1 Synjas"
"2019-06-05 22:22:35","9.5","svmem(total=17138647040, available=9745879040, percent=43.1, used=7392768000, free=9745879040)","2 Synjas"
"2019-06-05 22:22:50","12.5","svmem(total=17138647040, available=9736286208, percent=43.2, used=7402360832, free=9736286208)","4 Synjas"
"2019-06-05 22:23:06","9.9","svmem(total=17138647040, available=9728827392, percent=43.2, used=7409819648, free=9728827392)","5 Synjas"
"2019-06-05 22:23:22","7.4","svmem(total=17138647040, available=9728741376, percent=43.2, used=7409905664, free=9728741376)","5 Synjas"
"2019-06-05 22:23:37","7.5","svmem(total=17138647040, available=9732141056, percent=43.2, used=7406505984, free=9732141056)","5 Synjas"
"2019-06-05 22:23:53","7.3","svmem(total=17138647040, available=9747705856, percent=43.1, used=7390941184, free=9747705856)","5 Synjas"
"2019-06-05 22:24:09","8.5","svmem(total=17138647040, available=9748717568, percent=43.1, used=7389929472, free=9748717568)","5 Synjas"
"2019-06-05 22:24:24","8.4","svmem(total=17138647040, available=9746780160, percent=43.1, used=7391866880, free=9746780160)","5 Synjas"
"2019-06-05 22:24:40","11.5","svmem(total=17138647040, available=9728999424, percent=43.2, used=7409647616, free=9728999424)","5 Synjas"
"2019-06-05 22:24:56","9.6","svmem(total=17138647040, available=9741193216, percent=43.2, used=7397453824, free=9741193216)","5 Synjas"
"2019-06-05 22:25:11","7.8","svmem(total=17138647040, available=9741471744, percent=43.2, used=7397175296, free=9741471744)","5 Synjas"
"2019-06-05 22:25:27","5.0","svmem(total=17138647040, available=9739231232, percent=43.2, used=7399415808, free=9739231232)","5 Synjas"
"2019-06-05 22:25:43","8.7","svmem(total=17138647040, available=9728307200, percent=43.2, used=7410339840, free=9728307200)","5 Synjas"
"2019-06-05 22:25:58","23.4","svmem(total=17138647040, available=9709867008, percent=43.3, used=7428780032, free=9709867008)","5 Synjas"
"2019-06-05 22:26:14","9.6","svmem(total=17138647040, available=9702490112, percent=43.4, used=7436156928, free=9702490112)","5 Synjas"
"2019-06-05 22:26:30","8.1","svmem(total=17138647040, available=9700954112, percent=43.4, used=7437692928, free=9700954112)","5 Synjas"
"2019-06-05 22:26:45","10.4","svmem(total=17138647040, available=9700450304, percent=43.4, used=7438196736, free=9700450304)","5 Synjas"
"2019-06-05 22:27:01","8.9","svmem(total=17138647040, available=9692753920, percent=43.4, used=7445893120, free=9692753920)","5 Synjas"
"2019-06-05 22:27:17","9.2","svmem(total=17138647040, available=9688313856, percent=43.5, used=7450333184, free=9688313856)","5 Synjas"
"2019-06-05 22:27:32","10.2","svmem(total=17138647040, available=9694953472, percent=43.4, used=7443693568, free=9694953472)","5 Synjas"
"2019-06-05 22:27:48","8.4","svmem(total=17138647040, available=9694478336, percent=43.4, used=7444168704, free=9694478336)","5 Synjas"
"2019-06-05 22:28:04","6.6","svmem(total=17138647040, available=9688367104, percent=43.5, used=7450279936, free=9688367104)","5 Synjas"
"2019-06-05 22:28:19","8.6","svmem(total=17138647040, available=9686560768, percent=43.5, used=7452086272, free=9686560768)","5 Synjas"
"2019-06-05 22:28:35","10.9","svmem(total=17138647040, available=9814753280, percent=42.7, used=7323893760, free=9814753280)","5 Synjas"
"2019-06-05 22:28:50","8.0","svmem(total=17138647040, available=9811632128, percent=42.8, used=7327014912, free=9811632128)","5 Synjas"
"2019-06-05 22:29:06","8.0","svmem(total=17138647040, available=9804283904, percent=42.8, used=7334363136, free=9804283904)","5 Synjas"
"2019-06-05 22:29:22","8.6","svmem(total=17138647040, available=9810878464, percent=42.8, used=7327768576, free=9810878464)","5 Synjas"
"2019-06-05 22:29:41","30.5","svmem(total=17138647040, available=9786904576, percent=42.9, used=7351742464, free=9786904576)","1 Synjas"
"2019-06-05 22:32:31","28.8","svmem(total=17138647040, available=9708511232, percent=43.4, used=7430135808, free=9708511232)","1 Synjas"
"2019-06-05 22:32:47","9.9","svmem(total=17138647040, available=9762758656, percent=43.0, used=7375888384, free=9762758656)","1 Synjas"
"2019-06-05 22:33:02","9.8","svmem(total=17138647040, available=9761665024, percent=43.0, used=7376982016, free=9761665024)","1 Synjas"
"2019-06-05 22:33:18","9.5","svmem(total=17138647040, available=9760661504, percent=43.0, used=7377985536, free=9760661504)","1 Synjas"
"2019-06-05 22:33:34","15.0","svmem(total=17138647040, available=9701023744, percent=43.4, used=7437623296, free=9701023744)","1 Synjas"
"2019-06-05 22:33:49","9.6","svmem(total=17138647040, available=9712615424, percent=43.3, used=7426031616, free=9712615424)","1 Synjas"
"2019-06-05 22:34:05","9.7","svmem(total=17138647040, available=9717104640, percent=43.3, used=7421542400, free=9717104640)","1 Synjas"
"2019-06-05 22:34:21","11.1","svmem(total=17138647040, available=9704116224, percent=43.4, used=7434530816, free=9704116224)","1 Synjas"
"2019-06-05 22:34:36","10.9","svmem(total=17138647040, available=9698885632, percent=43.4, used=7439761408, free=9698885632)","1 Synjas"
"2019-06-05 22:34:52","8.3","svmem(total=17138647040, available=9701277696, percent=43.4, used=7437369344, free=9701277696)","1 Synjas"
"2019-06-05 22:35:08","8.9","svmem(total=17138647040, available=9693462528, percent=43.4, used=7445184512, free=9693462528)","1 Synjas"
"2019-06-05 22:35:23","12.2","svmem(total=17138647040, available=9680596992, percent=43.5, used=7458050048, free=9680596992)","1 Synjas"
"2019-06-05 22:35:39","9.3","svmem(total=17138647040, available=9684680704, percent=43.5, used=7453966336, free=9684680704)","1 Synjas"
