CMDLINE c:\anaconda\python.exe app.py
MEM 1573.988281 1557763934.3865
MEM 1573.988281 1557763934.4873
MEM 1573.988281 1557763934.5880
MEM 1573.988281 1557763934.6887
MEM 1573.988281 1557763934.7895
MEM 1573.988281 1557763934.8902
MEM 1573.988281 1557763934.9910
MEM 1573.988281 1557763935.0917
MEM 1573.988281 1557763935.1924
MEM 1573.988281 1557763935.2932
MEM 1587.875000 1557763935.3939
MEM 1600.875000 1557763935.4946
MEM 1619.910156 1557763935.5953
MEM 1624.375000 1557763935.6960
MEM 1624.375000 1557763935.7966
MEM 1624.375000 1557763935.8967
MEM 1624.375000 1557763935.9968
MEM 1624.375000 1557763936.0969
MEM 1624.375000 1557763936.1977
MEM 1624.375000 1557763936.2979
MEM 1624.375000 1557763936.3980
MEM 1624.375000 1557763936.4981
MEM 1624.375000 1557763936.5987
MEM 1624.375000 1557763936.6994
MEM 1624.375000 1557763936.8002
MEM 1624.375000 1557763936.9003
MEM 1624.375000 1557763937.0005
MEM 1624.375000 1557763937.1005
MEM 1624.375000 1557763937.2011
MEM 1624.375000 1557763937.3012
MEM 1624.375000 1557763937.4022
MEM 1624.375000 1557763937.5022
MEM 1624.375000 1557763937.6031
MEM 1624.375000 1557763937.7039
MEM 1624.375000 1557763937.8046
MEM 1624.375000 1557763937.9047
MEM 1624.375000 1557763938.0051
MEM 1624.375000 1557763938.1052
MEM 1624.375000 1557763938.2060
MEM 1624.375000 1557763938.3074
MEM 1624.507812 1557763938.4075
MEM 1624.683594 1557763938.5082
MEM 1625.132812 1557763938.6085
MEM 1625.144531 1557763938.7093
MEM 1625.144531 1557763938.8101
MEM 1625.144531 1557763938.9102
MEM 1625.144531 1557763939.0103
MEM 1625.144531 1557763939.1104
MEM 1625.144531 1557763939.2105
MEM 1625.144531 1557763939.3113
MEM 1625.207031 1557763939.4159
MEM 1625.207031 1557763939.5166
MEM 1625.207031 1557763939.6168
MEM 1625.207031 1557763939.7174
MEM 1625.207031 1557763939.8177
MEM 1625.207031 1557763939.9178
MEM 1625.207031 1557763940.0180
MEM 1625.207031 1557763940.1187
MEM 1625.207031 1557763940.2189
MEM 1625.207031 1557763940.3189
MEM 1625.207031 1557763940.4190
MEM 1625.207031 1557763940.5192
MEM 1625.207031 1557763940.6193
MEM 1625.207031 1557763940.7194
MEM 1625.207031 1557763940.8197
MEM 1625.207031 1557763940.9200
MEM 1625.207031 1557763941.0209
MEM 1625.207031 1557763941.1211
MEM 1625.207031 1557763941.2211
MEM 1625.207031 1557763941.3213
MEM 1625.207031 1557763941.4220
MEM 1625.207031 1557763941.5226
MEM 1625.207031 1557763941.6229
MEM 1625.207031 1557763941.7229
MEM 1625.207031 1557763941.8238
MEM 1625.207031 1557763941.9248
MEM 1625.207031 1557763942.0258
MEM 1625.207031 1557763942.1265
MEM 1625.207031 1557763942.2265
MEM 1625.207031 1557763942.3273
MEM 1625.207031 1557763942.4275
MEM 1625.207031 1557763942.5279
MEM 1625.207031 1557763942.6288
MEM 1625.207031 1557763942.7288
MEM 1625.207031 1557763942.8295
MEM 1625.207031 1557763942.9299
MEM 1625.207031 1557763943.0306
MEM 1625.207031 1557763943.1313
MEM 1625.207031 1557763943.2316
MEM 1625.207031 1557763943.3317
MEM 1625.207031 1557763943.4317
MEM 1625.207031 1557763943.5318
MEM 1625.207031 1557763943.6322
MEM 1625.207031 1557763943.7327
MEM 1625.207031 1557763943.8332
MEM 1625.207031 1557763943.9338
MEM 1625.207031 1557763944.0341
MEM 1625.207031 1557763944.1347
MEM 1625.207031 1557763944.2356
MEM 1625.207031 1557763944.3365
MEM 1625.207031 1557763944.4369
MEM 1625.207031 1557763944.5377
MEM 1625.207031 1557763944.6387
MEM 1625.207031 1557763944.7391
MEM 1625.207031 1557763944.8396
MEM 1625.207031 1557763944.9404
MEM 1625.207031 1557763945.0406
MEM 1625.527344 1557763945.1414
MEM 1625.527344 1557763945.2421
MEM 1625.527344 1557763945.3428
MEM 1625.527344 1557763945.4436
MEM 1625.527344 1557763945.5443
MEM 1625.527344 1557763945.6451
MEM 1625.527344 1557763945.7452
MEM 1625.527344 1557763945.8454
MEM 1625.527344 1557763945.9456
MEM 1625.527344 1557763946.0463
MEM 1625.527344 1557763946.1472
MEM 1625.527344 1557763946.2479
MEM 1625.527344 1557763946.3487
MEM 1625.527344 1557763946.4487
MEM 1625.527344 1557763946.5493
MEM 1625.527344 1557763946.6500
MEM 1625.527344 1557763946.7501
MEM 1625.527344 1557763946.8504
MEM 1625.527344 1557763946.9508
MEM 1625.527344 1557763947.0509
MEM 1625.527344 1557763947.1510
MEM 1625.527344 1557763947.2511
MEM 1625.527344 1557763947.3512
MEM 1625.527344 1557763947.4513
MEM 1625.527344 1557763947.5515
MEM 1625.527344 1557763947.6523
MEM 1625.527344 1557763947.7531
MEM 1625.527344 1557763947.8532
MEM 1625.531250 1557763947.9534
MEM 1625.531250 1557763948.0538
MEM 1625.531250 1557763948.1544
MEM 1625.531250 1557763948.2545
MEM 1625.535156 1557763948.3547
MEM 1625.535156 1557763948.4551
MEM 1625.535156 1557763948.5552
MEM 1625.535156 1557763948.6560
MEM 1625.535156 1557763948.7563
MEM 1625.535156 1557763948.8572
MEM 1625.539062 1557763948.9574
MEM 1625.539062 1557763949.0575
MEM 1625.539062 1557763949.1579
MEM 1625.539062 1557763949.2582
MEM 1625.542969 1557763949.3586
MEM 1625.542969 1557763949.4595
MEM 1625.542969 1557763949.5605
MEM 1625.542969 1557763949.6609
