CMDLINE c:\anaconda\python.exe app.py
MEM 0.238281 1557763985.9349
MEM 17.066406 1557763986.0356
MEM 27.332031 1557763986.1393
MEM 38.074219 1557763986.2396
MEM 47.347656 1557763986.3399
MEM 47.347656 1557763986.4406
MEM 47.347656 1557763986.5411
MEM 47.347656 1557763986.6418
MEM 47.437500 1557763986.7425
MEM 48.605469 1557763986.8427
MEM 55.371094 1557763986.9435
MEM 63.828125 1557763987.0438
MEM 67.425781 1557763987.1445
MEM 67.941406 1557763987.2451
MEM 79.027344 1557763987.3459
MEM 87.835938 1557763987.4466
MEM 96.261719 1557763987.5473
MEM 96.710938 1557763987.6481
MEM 96.710938 1557763987.7488
MEM 97.355469 1557763987.8495
MEM 105.109375 1557763987.9502
MEM 125.519531 1557763988.0510
MEM 134.582031 1557763988.1517
MEM 138.679688 1557763988.2602
MEM 147.777344 1557763988.3609
MEM 156.414062 1557763988.4617
MEM 161.457031 1557763988.5624
MEM 163.410156 1557763988.6631
MEM 170.257812 1557763988.7639
MEM 182.710938 1557763988.8646
MEM 188.863281 1557763988.9759
MEM 208.625000 1557763989.0759
MEM 253.160156 1557763989.1766
MEM 322.128906 1557763989.2914
MEM 321.730469 1557763989.3919
MEM 341.371094 1557763989.4926
MEM 354.425781 1557763989.5933
MEM 372.394531 1557763989.6937
MEM 388.664062 1557763989.7943
MEM 397.308594 1557763989.8950
MEM 438.582031 1557763989.9957
MEM 430.914062 1557763990.0965
MEM 455.453125 1557763990.1972
MEM 462.207031 1557763990.2979
MEM 470.160156 1557763990.3986
MEM 478.238281 1557763990.4994
MEM 485.984375 1557763990.6001
MEM 493.714844 1557763990.7008
MEM 537.734375 1557763990.8104
MEM 545.738281 1557763990.9111
MEM 553.695312 1557763991.0118
MEM 561.324219 1557763991.1125
MEM 568.894531 1557763991.2132
MEM 605.253906 1557763991.3135
MEM 612.750000 1557763991.4142
MEM 619.976562 1557763991.5149
MEM 627.207031 1557763991.6157
MEM 651.558594 1557763991.7164
MEM 664.750000 1557763991.8171
MEM 676.687500 1557763991.9178
MEM 688.093750 1557763992.0185
MEM 699.937500 1557763992.1193
MEM 707.000000 1557763992.2200
MEM 721.339844 1557763992.3207
MEM 737.808594 1557763992.4213
MEM 745.187500 1557763992.5220
MEM 752.562500 1557763992.6241
MEM 759.750000 1557763992.7241
MEM 766.937500 1557763992.8249
MEM 788.687500 1557763992.9256
MEM 813.562500 1557763993.0261
MEM 820.812500 1557763993.1268
MEM 828.312500 1557763993.2397
MEM 835.359375 1557763993.3403
MEM 842.687500 1557763993.4410
MEM 849.863281 1557763993.5417
MEM 857.062500 1557763993.6419
MEM 864.312500 1557763993.7424
MEM 871.500000 1557763993.8431
MEM 878.750000 1557763993.9438
MEM 915.937500 1557763994.0584
MEM 923.000000 1557763994.1587
MEM 843.480469 1557763994.2594
MEM 846.230469 1557763994.3602
MEM 850.292969 1557763994.4609
MEM 851.871094 1557763994.5626
MEM 853.480469 1557763994.6629
MEM 859.980469 1557763994.7636
MEM 861.542969 1557763994.8643
MEM 863.121094 1557763994.9651
MEM 864.730469 1557763995.0658
MEM 865.980469 1557763995.1876
MEM 883.707031 1557763995.2886
MEM 878.792969 1557763995.3893
MEM 880.292969 1557763995.4900
MEM 881.855469 1557763995.5908
MEM 883.398438 1557763995.6913
MEM 884.980469 1557763995.7921
MEM 886.605469 1557763995.8928
MEM 888.109375 1557763995.9935
MEM 889.644531 1557763996.0942
MEM 891.230469 1557763996.1949
MEM 892.980469 1557763996.3085
MEM 877.292969 1557763996.4093
MEM 877.292969 1557763996.5100
MEM 877.292969 1557763996.6108
MEM 877.292969 1557763996.7109
MEM 877.292969 1557763996.8115
MEM 877.292969 1557763996.9122
MEM 877.292969 1557763997.0130
MEM 877.292969 1557763997.1242
MEM 877.292969 1557763997.2243
MEM 877.292969 1557763997.3250
MEM 877.292969 1557763997.4257
MEM 877.292969 1557763997.5263
MEM 877.292969 1557763997.6271
MEM 877.292969 1557763997.7278
MEM 877.292969 1557763997.8281
MEM 877.292969 1557763997.9288
MEM 877.292969 1557763998.0292
MEM 877.292969 1557763998.1299
MEM 877.292969 1557763998.2307
MEM 877.292969 1557763998.3311
MEM 877.292969 1557763998.4318
MEM 877.292969 1557763998.5340
MEM 877.292969 1557763998.6397
MEM 877.292969 1557763998.7399
MEM 877.292969 1557763998.8399
MEM 877.304688 1557763998.9404
MEM 877.304688 1557763999.0411
MEM 877.304688 1557763999.1419
MEM 877.304688 1557763999.2423
MEM 877.304688 1557763999.3430
MEM 877.304688 1557763999.4434
MEM 877.304688 1557763999.5441
MEM 877.304688 1557763999.6587
MEM 877.304688 1557763999.7590
MEM 877.304688 1557763999.8742
MEM 877.304688 1557763999.9745
MEM 877.304688 1557764000.0752
MEM 877.304688 1557764000.1760
MEM 877.304688 1557764000.2899
MEM 877.304688 1557764000.3907
MEM 877.304688 1557764000.4914
MEM 877.304688 1557764000.5921
